c++ logs
PS D:\Embdedd Linux\computer Vision\Drowsiness Detection> .\build\bin\Release\DrowsinessDetector.exe
MessagePublisher: Initialized successfully on tcp://*:5555
Logger: ZeroMQ publishing enabled on tcp://*:5555
Logger initialized successfully
Drowsiness Detection System Started
MessagePublisher: Initialized successfully on tcp://*:5555
Logger: ZeroMQ publishing enabled on tcp://*:5555
Logger initialized successfully
Drowsiness Detection System Started
Press ESC to exit
Total Processed Frames: 823
MessagePublisher: Shutdown complete. Stats - Sent: 293, Failed: 0
Logger shutdown complete
System shutdown complete
Number Of Memory Allocations: 582401
Total allocated size: 22550981470 bytes
Number Of Memory Deallocations: 445729
Total freed size: 22465692653 bytes
Net memory allocated (should be 0): 85288817 bytes
Memory efficiency: 99.6218%
Average allocation size: 38720.7 bytes
Allocations per frame: 707.656


Pyhton subcriber logs





PS D:\Embdedd Linux\computer Vision\Drowsiness Detection> & C:/Users/pc/AppData/Local/Microsoft/WindowsApps/python3.11.exe "d:/Embdedd Linux/computer Vision/Drowsiness Detection/drowsiness_cloud_service.py"
2025-09-12 16:51:24,841 - DrowsinessCloudService - INFO - Configuration loaded: {'zmq_endpoint': 'tcp://localhost:5555', 's3_bucket': 'driver-safety-event-store', 'aws_region': 'eu-central-1', 'batch_flush_interval': 60, 'stats_interval': 300}
2025-09-12 16:51:24,869 - botocore.credentials - INFO - Found credentials in environment variables.
2025-09-12 16:51:25,575 - DrowsinessCloudService - INFO - S3 connection established to bucket: driver-safety-event-store
2025-09-12 16:51:25,581 - DrowsinessCloudService - INFO - Connected to ZeroMQ at tcp://localhost:5555
2025-09-12 16:51:25,582 - DrowsinessCloudService - INFO - Drowsiness Cloud Service started
2025-09-12 16:51:35,968 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h51m33s_529.jpg
2025-09-12 16:52:26,514 - DrowsinessCloudService - INFO - Successfully uploaded JSONL: logs/2025/09/12/events_165225.jsonl
2025-09-12 16:52:26,515 - DrowsinessCloudService - INFO - Uploaded batch of 1 events to logs/2025/09/12/events_165225.jsonl
2025-09-12 16:52:35,790 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m33s_432.jpg
2025-09-12 16:52:37,688 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m33s_934.jpg
2025-09-12 16:52:39,537 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m34s_464.jpg
2025-09-12 16:52:41,184 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m34s_965.jpg
2025-09-12 16:52:42,817 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m35s_436.jpg
2025-09-12 16:52:44,433 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m35s_897.jpg
2025-09-12 16:52:46,052 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m36s_342.jpg
