2025-08-07 03:22:19 | State: DROWSY | EAR: 0.0873918 | MAR: 0.356961 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:19 | State: DROWSY | EAR: 0.0930458 | MAR: 0.357321 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:20 | State: DROWSY | EAR: 0.0955987 | MAR: 0.364174 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:20 | State: DROWSY | EAR: 0.0979071 | MAR: 0.363471 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:20 | State: DROWSY | EAR: 0.118972 | MAR: 0.380682 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:21 | State: DROWSY | EAR: 0.0929822 | MAR: 0.365973 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:21 | State: DROWSY | EAR: 0.106523 | MAR: 0.372725 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:21 | State: DROWSY | EAR: 0.0835137 | MAR: 0.371985 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:21 | State: DROWSY | EAR: 0.078436 | MAR: 0.380209 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:22 | State: DROWSY | EAR: 0.0906152 | MAR: 0.362616 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:22 | State: DROWSY | EAR: 0.0704455 | MAR: 0.374888 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:22 | State: DROWSY | EAR: 0.0954702 | MAR: 0.368124 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:22 | State: DROWSY | EAR: 0.07226 | MAR: 0.375436 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:22 | State: DROWSY | EAR: 0.0681156 | MAR: 0.38016 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:23 | State: DROWSY | EAR: 0.0748001 | MAR: 0.36205 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:23 | State: DROWSY | EAR: 0.0865926 | MAR: 0.373447 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:23 | State: DROWSY | EAR: 0.0775571 | MAR: 0.347211 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:23 | State: DROWSY | EAR: 0.0735394 | MAR: 0.359066 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:23 | State: DROWSY | EAR: 0.0871186 | MAR: 0.352448 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:24 | State: DROWSY | EAR: 0.0865021 | MAR: 0.361407 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:24 | State: DROWSY | EAR: 0.0972385 | MAR: 0.372541 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:24 | State: DROWSY | EAR: 0.0711534 | MAR: 0.38241 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:24 | State: DROWSY | EAR: 0.0702227 | MAR: 0.357437 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:24 | State: DROWSY | EAR: 0.0978421 | MAR: 0.374248 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:25 | State: DROWSY | EAR: 0.0709408 | MAR: 0.383692 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:25 | State: DROWSY | EAR: 0.0824739 | MAR: 0.374075 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:25 | State: DROWSY | EAR: 0.0644484 | MAR: 0.363893 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:25 | State: DROWSY | EAR: 0.0759723 | MAR: 0.385437 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:26 | State: DROWSY | EAR: 0.0687224 | MAR: 0.366013 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
